5;91;Puente Aranda Bogota;1;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;
6;92;La Candelaria Bogota;1;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;
4;93;Rafael Uribe Uribe Bogota;1;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
6;94;Ciúdad Bolívar Bogota;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
4;95;1 Medellin;1;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;
5;96;2 Medellin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;
2;97;3 Medellin;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;
2;98;4 Medellin;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;
6;99;5 Medellin;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
5;100;6 Medellin;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;
2;101;Comuna 1/ Comuna 2 Cali;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
